player_name,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
Harry McKay,15,276,1,573,1,154,12,63,0,63
Harry Boyd,478,593,169,557,175,463,139,402,165,146
Harry Morrison,39,6,29,19,12,63,30,22,15,18
Willem Drew,2,19,15,1,3,25,6,22,3,8
Hugh McCluggage,10,54,1,29,92,6,1536,3,346,5
Lloyd Meek,48,1773,80,2072,41,1856,631,100,434,21
Daniel Rioli,3,838,216,48,39,211,242,6,29,239
Lachlan Murphy,1,4,0,4,6,2,1,5,0,1
Nick Larkey,85,19,63,18,67,21,45,83,16,29
Ned Reeves,5,37,6,39,7,32,12,20,10,19
Jordan Ridley,1,397,17,53,0,48,18,15,46,4
Jack Silvagni,1025,6,224,80,171,50,197,52,159,135
Izak Rankine,1582,11,1978,109,6573,12,239,469,769,16
Connor Rozee,533,45,3460,13,197,408,70,1038,350,78
Isaac Cumming,63,101,9,782,28,285,160,36,16,101
Matthew Kennedy,124,10,46,46,177,11,240,16,74,23
Bayley Fritsch,16,20,9,78,4,28,21,27,10,11
Toby Pink,2,5,56,3,8,16,36,16,28,12
Ben McKay,16,42,22,78,3,81,9,29,7,8
Esava Ratugolea,1,83,38,18,36,7,20,9,6,15
James Worpel,1,114,1,59,0,30,57,26,41,0
Jack Higgins,8,7,27,4,17,15,20,7,2,12
Lachie Fogarty,3,25,5,31,6,12,7,16,3,6
Andrew Brayshaw,57,164,59,652,188,101,5878,27,1005,11
Cam Rayner,59,163,12,160,17,129,29,51,9,56
Adam Cerra,384,57,1765,12,478,103,2474,42,536,64
Noah Balta,2,54,4,29,4,38,5,18,1,8
Brent Daniels,2,1387,3,137,11,188,2,603,0,259
Kane Farrell,93,11,3186,0,57,132,12,860,5,1044
Paddy Dow,0,16,0,9,0,5,0,1,0,3
Hunter Clark,1,11,0,14,0,12,0,10,0,2
Luke Davies-Uniacke,12,111,19,120,10,180,45,62,52,16
Charlie Spargo,17,15,12,21,9,26,32,17,12,10
Zac Bailey,141,40,67,43,101,34,157,42,216,14
Jack Payne,8,36,22,7,30,4,33,16,15,7
Brandon Starcevich,33,305,3,289,5,100,2,107,1,31
Ben Miller,19,8,20,1,31,3,25,7,2,18
Aaron Naughton,98,6,17,79,7,85,7,58,9,13
Jordan Boyd,0,6,3,2,0,1,1,6,1,1
Paul Curtis,57,1,314,0,53,36,145,8,16,25
Patrick Lipinski,200,48,33,682,78,99,37,200,40,79
Hayden McLean,2,4,0,1,1,0,2,3,0,0
Darragh Joyce,1,2,1,8,1,9,0,1,0,1
Brandon Zerk-Thatcher,0,55,0,34,1,24,0,16,0,6
Jack Lukosius,12,78,2,395,0,127,0,65,0,20
Liam Ryan,8,20,36,1,7,23,0,25,0,3
Oscar Allen,19,32,7,69,1,94,6,56,7,27
Jacob Wehr,3,18,6,4,9,13,7,12,33,1
Tim English,28,722,68,205,77,153,427,70,250,35
Beau McCreery,14,12,1,63,7,13,7,29,12,12
Jed McEntee,2,11,1,15,0,23,0,10,0,4
Dylan Stephens,3,6,1,5,13,3,33,3,23,3
Mitchell Hinge,13,10,25,14,62,0,25,7,21,6
Zach Guthrie,223,8,54,11,12,31,758,1,76,35
Tom De Koning,4347,10,3592,36,2680,11,1609,47,349,770
Gryan Miers,112,10,19,133,60,12,127,18,3,90
Tristan Xerri,652,59,511,115,98,1263,97,2600,48,4387
Ben Paton,36,217,4,215,16,158,3,114,1,32
Jordon Butts,2,37,3,19,7,13,1,22,0,7
Todd Marshall,1,14,0,12,0,6,0,4,0,2
Laitham Vandermeer,180,1,48,18,20,55,2,94,0,59
Noah Answerth,50,16,116,11,83,11,19,43,12,35
Josh Daicos,44,34,9,440,40,37,113,35,102,118
Massimo D'Ambrosio,26,305,66,50,6,470,64,75,10,93
Elliott Himmelberg,0,7,0,1,3,5,0,4,2,3
Sam Taylor,70,11396,553,889,347,1126,78,3292,53,513
Jackson Mead,13,17,177,3,37,32,19,32,9,21
Kade Chandler,8,3,200,0,17,22,2,32,8,26
