player_id,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
298281,210,7,21,134,3,320,1,219,0,62
298288,165,77,41,338,90,42,43,119,26,108
298289,0,21,0,6,0,4,0,7,0,2
298290,1,40,0,23,1,8,1,6,4,5
298358,0,35,3,8,0,10,1,3,1,4
298409,49,48,71,53,60,60,35,75,25,32
298421,11,20,10,6,7,18,13,2,17,1
298437,16,28,46,5,10,16,16,23,30,5
298470,0,4,0,4,0,1,0,1,0,0
298524,6,51,54,3,5,43,3,52,3,29
298539,65,56,10,1310,48,125,40,213,44,53
298630,4,240,0,131,0,44,0,47,0,14
990290,98,118,89,173,18,561,34,124,13,75
990291,70,793,7,1872,105,67,1049,16,1519,7
990609,3,350,7,120,19,36,12,43,11,12
990704,173,67,171,282,36,403,109,592,55,390
990740,6,121,30,26,17,29,18,46,14,16
990816,1,21,1,12,1,5,0,4,0,2
990827,312,95,708,96,75,166,32,243,135,38
990882,18,242,178,15,28,164,27,106,51,17
991773,5,29,1,40,119,9,22,20,19,15
991930,9,27,25,5,19,9,1,100,0,12
991939,8,117,2,96,1,43,4,48,1,14
991988,5,19,121,0,26,8,8,54,1,40
992010,47,24,10,161,30,20,42,45,15,52
992016,77,239,546,26,36,1349,2267,24,5521,4
992048,1,35,2,24,0,17,0,15,3,6
992049,243,338,251,509,423,121,234,175,344,50
992059,1,64,0,29,1,17,1,6,1,0
992128,6,20,1,57,0,57,0,22,0,2
992242,1008,25,4013,11,486,106,1724,33,125,279
992330,173,47,58,114,192,45,143,79,119,19
992351,3,4,4,7,7,1,2,4,0,1
992374,0,24,1,22,0,17,0,13,0,4
992468,13,1932,1254,54,877,52,539,118,93,211
992472,6,29,1,27,3,11,1,10,4,5
993107,7,138,71,8,352,4,296,13,8,67
993480,0,13,0,4,0,3,1,3,0,2
993794,53,11,64,9,46,78,202,15,9,50
993799,0,4,0,2,0,1,0,1,0,0
993816,5,58,8,18,36,5,40,3,5,12
993817,0,34,0,11,1,8,0,5,0,8
993820,47,0,17,16,2,15,0,57,0,14
993832,236,12,88,53,54,44,59,96,20,73
993834,1230,4,1555,22,1315,25,3191,27,245,56
993878,0,56,4,19,15,7,71,1,2,10
993902,53,503,20,592,57,386,6,245,28,78
993903,8,31,2,73,4,17,39,5,38,1
993905,0,346,5,101,3,110,2,79,1,23
993917,3,7,26,2,17,3,17,1,39,0
993940,33,38,107,17,53,105,2,514,1,118
993946,23,26,890,3,418,6,71,44,23,25
993953,25,32,10,10,6,22,1,35,14,4
993979,25,787,191,24,46,101,48,53,29,57
993993,146,344,59,177,40,190,153,85,102,36
993998,2815,6,956,85,3205,21,931,153,841,26
994077,62,13,41,28,5,123,11,37,6,48
994185,20,24,6,15,22,4,5,48,7,20
994295,342,27,23,1224,138,71,8,1458,6,182
994385,14,181,12,54,19,37,15,59,2,30
994386,20,1,40,2,64,0,98,6,24,12
994389,77,192,2276,31,3368,7,1488,48,1111,33
996059,21,249,63,23,69,15,34,82,23,23
996232,0,22,1,12,0,3,1,2,0,1
996554,3,534,4,368,1,184,7,103,7,27
996692,1,12,0,10,1,2,0,5,0,3
996701,150,445,557,77,503,125,748,117,110,322
996708,165,4,736,7,111,99,73,92,30,274
996731,132,146,37,210,53,54,90,107,32,22
996743,128,310,16,209,5,285,1,196,2,55
996765,30,155,5,120,3,162,3,245,1,64
997033,11,43,9,15,6,22,6,9,4,5
997078,12,8,13,21,4,60,5,11,10,9
997100,10,25,0,78,8,16,19,7,1,12
997142,75,16,12,45,143,6,169,16,50,25
997230,53,21,58,22,3,80,4,102,3,96
997316,0,22,10,5,19,3,10,13,4,9
997501,5,15,4,15,8,15,2,14,2,4
997846,5,7,3,15,3,15,0,7,1,4
997933,6,363,0,143,22,56,38,19,1,13
997974,1,10,0,3,0,7,0,7,0,3
998102,169,11,44,85,1,536,5,66,7,14
998103,14,29,2,134,3,16,15,7,15,7
998114,3,858,0,216,2,51,3,38,0,19
998129,6,26,3,20,3,25,1,15,4,9
998130,2,30,1,26,2,39,9,3,19,0
998133,90,1,400,2,22,36,12,92,6,46
998134,71,13,115,13,5,262,14,43,9,50
998145,0,136,1,62,7,45,366,28,49,31
998172,15,163,6,655,5,348,257,70,78,49
998180,6,19,1,22,3,10,4,5,2,7
998205,74,20074,6,23203,35,2336,110,219,53,373
998215,0,60,0,31,0,10,19,0,533,1
998260,3,45,0,49,1,12,6,4,1,5
998390,29,42,85,9,12,71,55,30,40,20
998480,9,36,4,29,2,25,37,14,12,2
998484,326,3,154,20,2,81,12,81,0,79
998529,4,35,13,21,13,24,0,21,0,7
998647,132,49,27,88,31,57,36,89,26,83
998659,19,410,40,151,19,273,167,56,8,249
998782,36,32,157,5,185,7,39,33,8,19
999321,90,5,24,38,20,27,51,22,16,10
999326,25,9,7,27,10,20,18,12,6,10
999331,139,2,106,5,31,51,52,33,27,10
999391,58,0,33,5,21,14,4,60,4,39
999715,1,15,5,11,4,5,1,5,1,3
999824,2,9,3,12,0,18,0,11,0,0
999827,1,39,2,34,2,18,9,27,2,1
1000061,0,5,0,4,0,4,0,2,0,2
1000068,0,0,0,2,0,0,1,2,0,1
1000072,1,886,44,47,1240,3,173,18,596,4
1000223,27,663,133,99,57,122,144,105,49,111
1000860,18,6,60,28,93,7,56,115,5,86
1000864,9,3,1,30,4,4,8,8,7,4
1000887,1,5,0,3,0,0,0,1,0,0
1000932,2,138,1,79,0,33,7,30,4,16
1000937,1497,2,1023,26,213,213,24,1703,0,420
1000953,15,276,1,573,1,154,12,63,0,63
1000958,478,593,169,557,175,463,139,402,165,146
1000963,39,6,29,19,12,63,30,22,15,18
1000972,2,19,15,1,3,25,6,22,3,8
1000978,10,54,1,29,92,6,1536,3,346,5
1000980,48,1773,80,2072,41,1856,631,100,434,21
1000981,3,838,216,48,39,211,242,6,29,239
1000998,1,4,0,4,6,2,1,5,0,1
1001017,85,19,63,18,67,21,45,83,16,29
1001024,5,37,6,39,7,32,12,20,10,19
1001026,1,397,17,53,0,48,18,15,46,4
1001028,1025,6,224,80,171,50,197,52,159,135
1001195,1582,11,1978,109,6573,12,239,469,769,16
1001299,533,45,3460,13,197,408,70,1038,350,78
1001396,63,101,9,782,28,285,160,36,16,101
1001398,124,10,46,46,177,11,240,16,74,23
1001438,16,20,9,78,4,28,21,27,10,11
1002138,2,5,56,3,8,16,36,16,28,12
1002143,16,42,22,78,3,81,9,29,7,8
1002220,1,83,38,18,36,7,20,9,6,15
1002222,1,114,1,59,0,30,57,26,41,0
1002227,8,7,27,4,17,15,20,7,2,12
1002228,3,25,5,31,6,12,7,16,3,6
